#,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
2061,14/10/2014,100,307,307,307,207,41,"12,587.00"
2060,27/10/2014,307,337,313,337,9.77,320,"1,07,240.00"
2059,02/11/2014,337,353,353,353,4.75,20,"7,060.00"
2058,03/11/2014,353,367,360,367,3.97,30,"10,940.00"
2057,11/11/2014,367,395,374,395,7.63,40,"15,380.00"
2056,17/11/2014,395,405,405,405,2.53,10,"4,050.00"
2055,18/11/2014,405,445,413,445,9.88,163,"71,735.00"
2054,19/11/2014,445,489,453,489,9.89,51,"24,039.00"
2053,20/11/2014,489,527,498,527,7.77,120,"61,450.00"
2051,24/11/2014,579,636,590,636,9.84,152,"94,437.00"
2052,24/11/2014,527,579,537,579,9.87,51,"94,437.00"
2050,25/11/2014,636,699,648,699,9.91,"3,404","23,77,820.00"
2049,30/11/2014,699,730,638,659,-5.72,"8,526","56,69,045.00"
2048,01/12/2014,659,654,618,623,-5.46,"3,619","22,53,085.00"
2047,02/12/2014,623,620,593,596,-4.33,"1,721","10,30,375.00"
2046,03/12/2014,596,600,585,585,-1.85,"1,176","7,00,063.00"
2045,04/12/2014,585,607,589,590,0.85,938,"5,57,270.00"
2044,07/12/2014,590,600,585,600,1.69,639,"3,80,230.00"
2043,08/12/2014,600,610,580,581,-3.17,672,"3,97,448.00"
2042,09/12/2014,581,585,566,580,-0.17,718,"4,10,417.00"
2041,10/12/2014,580,595,578,580,0,"1,625","9,51,268.00"
2040,11/12/2014,580,590,578,590,1.72,824,"4,79,980.00"
2039,14/12/2014,590,624,598,615,4.24,"1,044","6,36,605.00"
2038,15/12/2014,615,620,600,620,0.81,913,"5,58,171.00"
2037,16/12/2014,620,620,582,598,-3.55,567,"3,40,682.00"
2036,17/12/2014,598,620,595,600,0.33,"1,116","6,75,531.00"
2035,18/12/2014,600,600,581,600,0,154,"91,520.00"
2034,21/12/2014,600,608,589,608,1.33,605,"3,59,180.00"
2033,22/12/2014,608,611,588,590,-2.96,478,"2,85,394.00"
2032,23/12/2014,590,589,570,575,-2.54,"1,667","9,61,563.00"
2031,24/12/2014,575,580,570,580,0.87,"1,124","6,47,990.00"
2030,28/12/2014,580,601,572,600,3.45,"1,836","10,84,095.00"
2029,29/12/2014,600,600,590,591,-1.5,414,"2,44,900.00"
2028,31/12/2014,591,639,600,639,8.12,"3,374","20,59,966.00"
2027,01/01/2015,639,685,628,669,4.69,"2,297","15,11,048.00"
2026,04/01/2015,669,700,656,698,4.33,"2,597","17,62,423.00"
2025,05/01/2015,698,728,680,717,2.72,"3,742","26,57,427.00"
2024,06/01/2015,717,726,706,720,0.42,"3,056","21,89,534.00"
2023,07/01/2015,720,769,692,769,6.81,"4,161","31,22,135.00"
2022,08/01/2015,769,845,760,845,9.88,"3,941","32,52,901.00"
2021,11/01/2015,845,920,776,851,0.71,"3,515","29,88,825.00"
2020,12/01/2015,851,850,790,818,-3.88,"4,090","33,23,460.00"
2019,13/01/2015,818,840,801,840,2.69,"1,141","9,25,589.00"
2018,14/01/2015,840,855,820,823,-2.02,"1,433","11,98,089.00"
2017,18/01/2015,823,810,790,806,-2.07,"1,064","8,50,324.00"
2016,19/01/2015,806,838,795,795,-1.36,996,"8,09,804.00"
2015,20/01/2015,795,816,776,791,-0.5,466,"3,71,820.00"
2014,22/01/2015,791,790,775,775,-2.02,987,"7,71,764.00"
2013,25/01/2015,775,805,760,800,3.23,501,"3,94,470.00"
2012,26/01/2015,800,816,795,801,0.12,"1,924","15,42,341.00"
2011,27/01/2015,801,803,791,800,-0.12,656,"5,24,863.00"
2010,28/01/2015,800,805,800,801,0.12,719,"5,76,347.00"
2009,29/01/2015,801,805,799,799,-0.25,375,"3,33,026.00"
2008,01/02/2015,799,790,787,790,-1.13,246,"1,94,256.00"
2007,02/02/2015,790,800,790,800,1.27,"1,883","15,03,859.00"
2006,03/02/2015,800,823,802,817,2.12,989,"8,05,035.00"
2005,04/02/2015,817,865,812,860,5.26,"1,802","14,92,513.00"
2004,05/02/2015,860,860,829,851,-1.05,555,"4,67,871.00"
2003,08/02/2015,851,835,819,825,-3.06,562,"4,64,141.00"
2002,09/02/2015,825,830,816,830,0.61,454,"3,73,252.00"
2001,10/02/2015,830,835,822,835,0.6,"1,278","10,57,840.00"
2000,11/02/2015,835,844,825,830,-0.6,"1,091","9,05,253.00"
1999,12/02/2015,830,838,826,838,0.96,689,"5,74,730.00"
1998,15/02/2015,838,897,840,897,7.04,"2,738","23,74,377.00"
1997,16/02/2015,897,969,900,945,5.35,"1,621","15,12,573.00"
1996,18/02/2015,945,950,912,945,0,"5,379","50,17,120.00"
1995,22/02/2015,945,963,880,897,-5.08,352,"3,19,432.00"
1994,23/02/2015,897,950,864,950,5.91,"2,947","26,30,250.00"
1993,24/02/2015,950,"1,041.00",882,"1,041.00",9.58,"3,661","34,19,453.00"
1992,25/02/2015,"1,041.00","1,021.00",950,985,-5.38,"7,160","70,22,044.00"
1991,26/02/2015,985,975,975,975,-1.02,30,"7,22,478.00"
1990,01/03/2015,995,988,945,988,-0.7,175,"1,67,234.00"
1989,02/03/2015,988,995,940,970,-1.82,"4,138","40,41,705.00"
1988,03/03/2015,970,988,960,960,-1.03,"2,318","22,38,568.00"
1987,04/03/2015,960,973,951,953,-0.73,840,"8,04,449.00"
1986,09/03/2015,953,981,966,966,1.36,447,"4,34,728.00"
1985,10/03/2015,966,966,922,940,-2.69,171,"1,61,952.00"
1984,11/03/2015,940,945,924,942,0.21,485,"4,52,224.00"
1983,12/03/2015,942,933,915,925,-1.8,464,"4,30,283.00"
1982,15/03/2015,925,935,908,925,0,942,"8,70,046.00"
1981,16/03/2015,925,930,880,880,-4.86,350,"3,13,500.00"
1980,17/03/2015,880,911,895,909,3.3,"1,003","9,05,935.00"
1979,18/03/2015,909,910,886,910,0.11,411,"3,70,162.00"
1978,19/03/2015,910,909,900,909,-0.11,112,"1,00,890.00"
1977,22/03/2015,909,910,890,895,-1.54,160,"1,43,070.00"
1976,23/03/2015,895,900,880,885,-1.12,594,"5,27,120.00"
1975,24/03/2015,885,885,846,875,-1.13,949,"8,29,315.00"
1974,25/03/2015,875,866,845,860,-1.71,"1,162","9,93,576.00"
1973,26/03/2015,860,860,840,850,-1.16,"2,077","17,61,588.00"
1972,29/03/2015,850,860,855,860,1.18,332,"2,85,320.00"
1971,30/03/2015,860,870,858,870,1.16,530,"4,59,139.00"
1970,31/03/2015,870,880,827,878,0.92,502,"4,32,720.00"
1969,01/04/2015,878,877,855,860,-2.05,377,"3,25,964.00"
1968,02/04/2015,860,848,827,848,-1.4,104,"86,850.00"
1966,06/04/2015,832,845,825,845,1.56,134,"1,11,788.00"
1967,06/04/2015,848,833,832,832,-1.89,123,"1,11,788.00"
1965,07/04/2015,845,831,831,831,-1.66,41,"34,071.00"
1964,08/04/2015,831,870,830,850,2.29,950,"8,11,972.00"
1963,09/04/2015,850,867,843,860,1.18,385,"3,31,300.00"
1962,12/04/2015,860,876,846,865,0.58,435,"3,74,668.00"
1961,13/04/2015,865,872,850,872,0.81,438,"3,74,775.00"
1960,15/04/2015,872,855,840,841,-3.56,732,"6,16,780.00"
1959,16/04/2015,841,850,840,850,1.07,406,"3,43,082.00"
