S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,15/05/2024,675,682.9,660.1,660.1,-1.62,"15,761.00","1,06,01,118.70"
2,14/05/2024,655,674.9,655,671,3.07,"18,718.00","1,25,18,869.30"
3,13/05/2024,650,658,645,651,0.11,"5,463.00","35,48,046.70"
4,12/05/2024,670,670,650.3,650.3,-2.94,"6,884.00","45,11,826.40"
5,09/05/2024,683,689.6,662.6,670,-0.89,"14,540.00","97,68,167.80"
6,08/05/2024,673.2,678.9,665,676,2.42,"39,178.00","2,63,91,603.00"
7,07/05/2024,638.7,668.1,638.4,660,2.01,"6,123.00","40,29,935.00"
8,06/05/2024,681,681,642,647,-3.14,"7,017.00","45,91,278.30"
9,05/05/2024,674.9,690,659.9,668,0.6,"32,699.00","2,19,28,078.10"
10,02/05/2024,634.1,670.1,634.1,664,2.95,"30,577.00","2,03,32,043.00"
11,30/04/2024,630,655.4,628,645,2.38,"7,195.00","46,00,998.60"
12,29/04/2024,627,635,627,630,0.03,"3,507.00","22,15,355.90"
13,28/04/2024,613,642.6,613,629.8,1.91,"4,731.00","29,94,906.50"
14,25/04/2024,615.6,644,615.6,618,-0.32,"4,416.00","27,55,973.90"
15,24/04/2024,620.2,624,620,620,-0.9,"6,098.00","37,87,542.70"
16,22/04/2024,642,642,620.5,625.6,-0.7,"4,084.00","25,64,744.30"
17,21/04/2024,642.8,642.8,621.1,630,-0.16,"3,637.00","22,75,812.90"
18,18/04/2024,638.2,640,631,631,-1.87,"6,058.00","38,48,085.60"
19,16/04/2024,633.7,672,633.7,643,-0.46,"3,369.00","21,75,113.90"
20,15/04/2024,654,672,645.3,646,-2.71,"13,898.00","90,86,130.80"
21,14/04/2024,650,667,642,664,1.37,"5,626.00","36,82,761.00"
22,10/04/2024,653.8,655,635,655,1.08,"8,814.00","56,79,541.50"
23,09/04/2024,660,660,643,648,-1.07,"6,984.00","45,15,794.00"
24,07/04/2024,668.4,678.9,651,655,-0.05,"12,688.00","83,14,748.00"
25,04/04/2024,650,668.1,646.8,655.3,1,"10,987.00","72,65,015.00"
26,03/04/2024,657.5,675,641.3,648.8,0.59,"6,045.00","39,11,945.90"
27,02/04/2024,641,651,636.4,645,2.54,"5,377.00","34,67,295.80"
28,01/04/2024,620,632.4,620,629,-0.16,"3,299.00","20,75,096.00"
29,31/03/2024,635,648.8,628,630,-1.69,"9,533.00","60,46,126.20"
30,28/03/2024,667,667,640.7,640.8,-2.02,"4,547.00","29,30,206.60"
31,27/03/2024,650,655,638.3,654,0.69,"6,971.00","45,11,771.80"
32,26/03/2024,640,652,639,649.5,0.65,"8,049.00","51,86,918.50"
33,25/03/2024,646.2,648,645.3,645.3,-1.94,"6,918.00","44,71,457.80"
34,21/03/2024,670,681,658.1,658.1,-1.48,"7,629.00","50,58,197.00"
35,20/03/2024,672.9,690,659.9,668,1.21,"35,068.00","2,36,54,148.90"
36,19/03/2024,663,671.7,650.1,660,0,"10,620.00","70,13,461.90"
37,18/03/2024,631,664,631,660,2.64,"6,652.00","43,74,053.70"
38,17/03/2024,654.9,668.5,643,643,0,"16,086.00","1,05,22,653.10"
39,14/03/2024,660,668,640.3,643,-4.32,"8,203.00","53,65,702.90"
